timestamp,type,amount,pool_value,net_pool,trade_num,description
2025-09-17T01:13:05.558Z,pool_status,0,600,600,,Pool initialized with $600 and $15.129999999999999 positions
2025-09-17T01:13:08.677Z,trade_execution,-15.129999999999999,600,584.87,1,Trade #1 executed: B5LZa4jn...
2025-09-17T01:13:09.347Z,trade_execution,-15.129999999999999,601.7480000484084,586.6180000484084,2,Trade #2 executed: E4fJZNDk...
2025-09-17T01:13:09.471Z,trade_execution,-15.129999999999999,626.2309269233425,611.1009269233425,3,Trade #3 executed: 5frcbGLb...
2025-09-17T01:13:11.500Z,trade_execution,-15.129999999999999,636.0445481954758,620.9145481954758,4,Trade #4 executed: FZVy6raV...
2025-09-17T01:13:11.529Z,trade_execution,-15.129999999999999,625.7489526974588,610.6189526974588,5,Trade #5 executed: AtYV875u...
2025-09-17T01:13:11.624Z,trade_execution,-15.129999999999999,610.1196030487627,594.9896030487627,6,Trade #6 executed: 6CYnaKJU...
2025-09-17T01:13:12.751Z,trade_execution,-15.129999999999999,620.1142855318418,604.9842855318418,7,Trade #7 executed: 4CtfPCQZ...
2025-09-17T01:13:13.764Z,trade_execution,-15.129999999999999,620.6662068345165,605.5362068345165,8,Trade #8 executed: GkXHAQFS...
2025-09-17T01:13:14.719Z,trade_execution,-15.129999999999999,622.9994105972752,607.8694105972752,9,Trade #9 executed: 9zZrS5co...
2025-09-17T01:13:14.857Z,trade_execution,-15.129999999999999,609.5270807042531,594.3970807042531,10,Trade #10 executed: 38EbJWpx...
2025-09-17T01:13:41.502Z,profit_return,31.469992172073084,631.1505062038401,662.6204983759131,10,FZVy6raV... | P&L: +$16.34 | Hold: 0.5m
2025-09-17T01:13:43.770Z,profit_return,96.96254707995868,662.6204983759131,759.5830454558718,10,GkXHAQFS... | P&L: +$81.83 | Hold: 0.5m
2025-09-17T01:13:44.862Z,profit_return,89.84551315425026,759.5830454558718,849.4285586101221,10,38EbJWpx... | P&L: +$74.72 | Hold: 0.5m
2025-09-17T01:14:00.596Z,trade_execution,-15.129999999999999,849.4285586101221,834.2985586101221,11,Trade #11 executed: 4rTecj4w...
2025-09-17T01:14:01.694Z,trade_execution,-15.129999999999999,871.5048733670498,856.3748733670498,12,Trade #12 executed: 2N18fqYs...
2025-09-17T01:14:01.717Z,trade_execution,-15.129999999999999,860.2274304170733,845.0974304170733,13,Trade #13 executed: 2uh37vE6...
2025-09-17T01:14:01.982Z,trade_execution,-15.129999999999999,861.2873594891427,846.1573594891427,14,Trade #14 executed: 3Fe8YpDj...
2025-09-17T01:14:05.607Z,trade_execution,-15.129999999999999,891.4006381107306,876.2706381107306,15,Trade #15 executed: 5pyXhsAJ...
2025-09-17T01:14:06.226Z,trade_execution,-15.129999999999999,876.2706381107306,861.1406381107306,16,Trade #16 executed: 72obVXwP...
2025-09-17T01:14:09.472Z,profit_return,64.63750988527686,895.6082376403782,960.245747525655,16,5frcbGLb... | P&L: +$49.51 | Hold: 1.0m
2025-09-17T01:14:12.753Z,profit_return,56.2720549475293,960.245747525655,1016.5178024731844,16,4CtfPCQZ... | P&L: +$41.14 | Hold: 1.0m
